"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","01000","","北海道","","24,430","2,468","75,120","38","19","261","374","89","72","17","17,281","8,629"
"2023000000","","2023年","01020","","その他の市","","10,373","1,012","35,925","15","9","113","167","38","29","9","7,033","3,846"
"2023000000","","2023年","01030","","郡部","","3,705","361","15,352","5","3","43","38","13","10","3","2,340","1,225"
"2023000000","","2023年","01010","","札幌市","","10,352","1,095","23,843","18","7","105","169","38","33","5","7,908","3,558"
"2023000000","","2023年","01101","","中央区","","1,332","150","2,684","2","-","13","39","4","4","-","1,344","527"
"2023000000","","2023年","01102","","北区","","1,449","155","3,302","5","2","14","18","6","5","1","977","455"
"2023000000","","2023年","01103","","東区","","1,487","155","3,044","2","1","17","14","5","4","1","1,089","507"
"2023000000","","2023年","01104","","白石区","","1,239","106","2,615","4","4","20","18","13","10","3","1,077","449"
"2023000000","","2023年","01105","","豊平区","","1,313","144","2,537","2","-","12","24","3","3","-","1,221","413"
"2023000000","","2023年","01106","","南区","","550","64","2,073","1","-","6","11","3","3","-","334","208"
"2023000000","","2023年","01107","","西区","","1,357","159","2,588","1","-","12","16","1","1","-","962","409"
"2023000000","","2023年","01108","","厚別区","","502","39","1,665","1","-","1","6","1","1","-","363","193"
"2023000000","","2023年","01109","","手稲区","","665","81","1,892","-","-","6","13","2","2","-","352","216"
"2023000000","","2023年","01110","","清田区","","458","42","1,443","-","-","4","10","-","-","-","189","181"
"2023000000","","2023年","01202","","函館市","","947","82","4,466","1","1","13","12","6","5","1","734","376"
"2023000000","","2023年","01203","","小樽市","","348","32","2,122","-","-","6","12","2","2","-","245","132"
"2023000000","","2023年","01204","","旭川市","","1,565","162","5,165","2","1","10","16","3","2","1","1,068","557"
"2023000000","","2023年","01205","","室蘭市","","343","30","1,441","1","-","4","7","1","1","-","237","121"
"2023000000","","2023年","01206","","釧路市","","644","65","2,628","2","2","9","14","5","3","2","464","322"
"2023000000","","2023年","01207","","帯広市","","902","88","2,171","1","-","5","10","-","-","-","668","296"
"2023000000","","2023年","01208","","北見市","","549","53","1,789","1","1","2","12","2","1","1","355","214"
"2023000000","","2023年","01209","","夕張市","","10","-","177","-","-","1","-","-","-","-","19","8"
"2023000000","","2023年","01210","","岩見沢市","","312","26","1,317","-","-","2","6","1","1","-","203","82"
"2023000000","","2023年","01211","","網走市","","143","9","481","-","-","2","-","-","-","-","116","62"
"2023000000","","2023年","01212","","留萌市","","83","8","360","-","-","1","1","-","-","-","56","25"
"2023000000","","2023年","01213","","苫小牧市","","891","86","2,199","2","2","11","21","3","1","2","633","357"
"2023000000","","2023年","01214","","稚内市","","128","14","475","-","-","3","3","-","-","-","93","48"
"2023000000","","2023年","01215","","美唄市","","42","4","430","-","-","3","-","-","-","-","47","29"
"2023000000","","2023年","01216","","芦別市","","32","3","323","-","-","2","-","1","1","-","22","15"
"2023000000","","2023年","01217","","江別市","","575","57","1,484","-","-","12","13","4","4","-","232","161"
"2023000000","","2023年","01218","","赤平市","","30","3","241","-","-","-","-","-","-","-","13","11"
"2023000000","","2023年","01219","","紋別市","","81","3","363","-","-","-","1","-","-","-","68","30"
"2023000000","","2023年","01220","","士別市","","59","10","279","-","-","1","-","-","-","-","46","22"
"2023000000","","2023年","01221","","名寄市","","140","9","348","1","-","-","-","-","-","-","87","47"
"2023000000","","2023年","01222","","三笠市","","32","2","186","-","-","-","2","-","-","-","18","9"
"2023000000","","2023年","01223","","根室市","","103","19","393","-","-","-","-","-","-","-","82","49"
"2023000000","","2023年","01224","","千歳市","","657","70","970","1","-","5","10","-","-","-","503","185"
"2023000000","","2023年","01225","","滝川市","","164","19","627","1","1","2","2","2","1","1","124","68"
"2023000000","","2023年","01226","","砂川市","","55","6","332","-","-","-","-","-","-","-","52","18"
"2023000000","","2023年","01227","","歌志内市","","14","-","82","-","-","-","-","-","-","-","4","2"
"2023000000","","2023年","01228","","深川市","","70","6","365","-","-","1","2","-","-","-","50","14"
"2023000000","","2023年","01229","","富良野市","","110","13","313","-","-","2","-","1","1","-","60","31"
"2023000000","","2023年","01230","","登別市","","166","15","744","-","-","2","4","2","2","-","123","71"
"2023000000","","2023年","01231","","恵庭市","","354","33","872","2","1","-","4","1","-","1","196","111"
"2023000000","","2023年","01233","","伊達市","","149","23","591","-","-","3","1","1","1","-","71","51"
"2023000000","","2023年","01234","","北広島市","","235","29","751","-","-","2","5","1","1","-","135","107"
