種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),6,17000000,３ＬＤＫ,75,1997,ＲＣ,住宅,住宅,２中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),7,13000000,,75,1997,ＲＣ,住宅,住宅,２中住専,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,21000000,２ＬＤＫ,65,1997,ＲＣ,住宅,住宅,２中住専,60,200,2021,改装済み,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,12000000,２ＬＤＫ,65,1997,ＲＣ,住宅,住宅,２中住専,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,14000000,３ＬＤＫ,85,1997,ＲＣ,住宅,住宅,２中住専,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,13000000,４ＬＤＫ,85,1997,ＲＣ,住宅,住宅,２中住専,60,200,2019,未改装,調停・競売等,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,15000000,,70,2000,ＲＣ,,その他,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,14000000,３ＬＤＫ,65,2000,ＲＣ,住宅,その他,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,10,8600000,,60,1996,ＲＣ,,住宅,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,9600000,３ＬＤＫ,60,1996,ＲＣ,,住宅,１中住専,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,10,9300000,３ＬＤＫ,75,1996,ＲＣ,,住宅,１種住居,60,200,2020,,,,,498,53,891,2,1,4,4,1,0,1,283,162
中古マンション等,不動産取引価格情報,27208,大阪府,王子,和泉橋本,9,11000000,３ＬＤＫ,60,1996,ＲＣ,住宅,,１中住専,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),12,14000000,３ＬＤＫ,75,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,3800000,３ＬＤＫ,65,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),14,4700000,３ＬＤＫ,65,1986,ＲＣ,住宅,住宅,１種住居,60,200,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),6,8700000,３ＬＤＫ,65,1997,ＲＣ,,住宅,１種住居,60,200,2021,未改装,,,,455,35,944,1,1,6,3,4,3,1,243,131
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),4,10000000,３ＬＤＫ,60,1997,ＲＣ,住宅,,１種住居,60,200,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,12000000,２ＬＤＫ,60,2003,ＳＲＣ,住宅,住宅,商業,80,400,2023,未改装,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,18000000,３ＬＤＫ,70,2003,ＳＲＣ,,住宅,商業,80,400,2023,改装済み,,,,368,38,1038,1,1,3,8,1,1,0,275,115
中古マンション等,不動産取引価格情報,27208,大阪府,近木町,貝塚(大阪),2,14000000,３ＬＤＫ,65,2003,ＳＲＣ,住宅,住宅,商業,80,400,2019,未改装,,,,558,51,885,1,1,9,5,0,0,0,336,168
